Provincia,Ano,Mes,Obitos
Zambezia,2017,1,25
Zambezia,2017,2,22
Zambezia,2017,3,16
Zambezia,2017,4,24
Zambezia,2017,5,13
Zambezia,2017,6,17
Zambezia,2017,7,14
Zambezia,2017,8,13
Zambezia,2017,9,11
Zambezia,2017,10,10
Zambezia,2017,11,11
Zambezia,2017,12,6
Zambezia,2018,1,16
Zambezia,2018,2,15
Zambezia,2018,3,14
Zambezia,2018,4,6
Zambezia,2018,5,14
Zambezia,2018,6,13
Zambezia,2018,7,7
Zambezia,2018,8,9
Zambezia,2018,9,14
Zambezia,2018,10,9
Zambezia,2018,11,14
Zambezia,2018,12,7
Zambezia,2019,1,16
Zambezia,2019,2,7
Zambezia,2019,3,8
Zambezia,2019,4,14
Zambezia,2019,5,4
Zambezia,2019,6,13
Zambezia,2019,7,10
Zambezia,2019,8,10
Zambezia,2019,9,4
Zambezia,2019,10,6
Zambezia,2019,11,9
Zambezia,2019,12,7
Zambezia,2020,1,8
Zambezia,2020,2,8
Zambezia,2020,3,10
Zambezia,2020,4,10
Zambezia,2020,5,11
Zambezia,2020,6,8
Zambezia,2020,7,12
Zambezia,2020,8,3
Zambezia,2020,9,1
Zambezia,2020,10,6
Zambezia,2020,11,3
Zambezia,2020,12,5
Zambezia,2021,1,3
Zambezia,2021,2,3
Zambezia,2021,3,3
Zambezia,2021,4,3
Zambezia,2021,5,6
Zambezia,2021,6,8
Zambezia,2021,7,3
Zambezia,2021,8,6
Zambezia,2021,9,6
Zambezia,2021,10,4
Zambezia,2021,11,3
Zambezia,2021,12,5
Zambezia,2022,1,0
Zambezia,2022,2,6
Zambezia,2022,3,0
Zambezia,2022,4,0
Zambezia,2022,5,4
Zambezia,2022,6,2
Zambezia,2022,7,4
Zambezia,2022,8,4
Zambezia,2022,9,3
Zambezia,2022,10,3
Zambezia,2022,11,6
Zambezia,2022,12,5
Zambezia,2023,1,1
Zambezia,2023,2,5
Zambezia,2023,3,1
Zambezia,2023,4,2
Zambezia,2023,5,3
Zambezia,2023,6,0
Zambezia,2023,7,0
Zambezia,2023,8,0
Zambezia,2023,9,0
Zambezia,2023,10,4
Zambezia,2023,11,0
